Siglent Technologies,SSA5085A,SSA5AA4D900088,1.9.0.2.2R3
PMA Benchtop NPD v2.00,,,
Frequency Start = 2.0 GHz,,,
Frequency Stop = 5.0 GHz,,,
Frequency Step = 0.3 MHz,,,
Number of Frequency Points = 10001.0,,,
Number of Averages = 10.0,,,
Resolution Bandwidth = 10.0 KHz,,,
,,,
Freq(GHz),Raw Data,dBm/Hz,
2,-117.3388,-157.3388,
2.0003,-119.8725,-159.8725,
2.0006,-120.5646,-160.5646,
2.0009,-118.4965,-158.4965,
2.0012,-118.0291,-158.0291,
2.0015,-119.5609,-159.5609,
2.0018,-118.5478,-158.5478,
2.0021,-118.5567,-158.5567,
2.0024,-118.3609,-158.3609,
2.0027,-120.5835,-160.5835,
2.003,-117.3736,-157.3736,
2.0033,-119.9237,-159.9237,
2.0036,-120.1457,-160.1457,
2.0039,-121.3677,-161.3677,
2.0042,-118.6372,-158.6372,
2.0045,-118.3697,-158.3697,
2.0048,-119.8617,-159.8617,
2.0051,-119.3887,-159.3887,
2.0054,-118.6813,-158.6813,
2.0057,-119.1422,-159.1422,
2.006,-119.2342,-159.2342,
2.0063,-119.0568,-159.0568,
2.0066,-118.4005,-158.4005,
2.0069,-117.7362,-157.7362,
2.0072,-119.1156,-159.1156,
2.0075,-119.1803,-159.1803,
2.0078,-118.2213,-158.2213,
2.0081,-118.8238,-158.8238,
2.0084,-118.6814,-158.6814,
2.0087,-119.1262,-159.1262,
2.009,-118.6465,-158.6465,
2.0093,-119.4734,-159.4734,
2.0096,-118.6512,-158.6512,
2.0099,-118.5559,-158.5559,
2.0102,-119.6939,-159.6939,
2.0105,-119.5751,-159.5751,
2.0108,-120.314,-160.314,
2.0111,-119.5783,-159.5783,
2.0114,-119.1876,-159.1876,
2.0117,-120.8359,-160.8359,
2.012,-119.2922,-159.2922,
2.0123,-119.0668,-159.0668,
2.0126,-119.2635,-159.2635,
2.0129,-117.907,-157.907,
2.0132,-119.8532,-159.8532,
2.0135,-118.0565,-158.0565,
2.0138,-118.7745,-158.7745,
2.0141,-120.1335,-160.1335,
2.0144,-119.3979,-159.3979,
2.0147,-119.5338,-159.5338,
2.015,-119.3586,-159.3586,
2.0153,-119.1476,-159.1476,
2.0156,-120.7972,-160.7972,
2.0159,-119.1486,-159.1486,
2.0162,-118.8562,-158.8562,
2.0165,-119.6565,-159.6565,
2.0168,-119.2729,-159.2729,
2.0171,-118.903,-158.903,
2.0174,-118.5514,-158.5514,
2.0177,-118.7411,-158.7411,
2.018,-117.9005,-157.9005,
2.0183,-118.7151,-158.7151,
2.0186,-119.2394,-159.2394,
2.0189,-120.8679,-160.8679,
2.0192,-118.052,-158.052,
2.0195,-119.3668,-159.3668,
2.0198,-117.3574,-157.3574,
2.0201,-119.2479,-159.2479,
2.0204,-119.3185,-159.3185,
2.0207,-120.0534,-160.0534,
2.021,-118.439,-158.439,
2.0213,-119.4398,-159.4398,
2.0216,-118.567,-158.567,
2.0219,-117.7185,-157.7185,
2.0222,-119.2745,-159.2745,
2.0225,-118.9027,-158.9027,
2.0228,-119.7756,-159.7756,
2.0231,-120.049,-160.049,
2.0234,-118.7768,-158.7768,
2.0237,-120.0429,-160.0429,
2.024,-119.767,-159.767,
2.0243,-120.144,-160.144,
2.0246,-118.5906,-158.5906,
2.0249,-117.5562,-157.5562,
2.0252,-119.0726,-159.0726,
2.0255,-119.1439,-159.1439,
2.0258,-118.792,-158.792,
2.0261,-119.0233,-159.0233,
2.0264,-119.2612,-159.2612,
2.0267,-117.7027,-157.7027,
