NPD Pass Fail Criteria,
,
,
Freq (GHz),dBm/Hz
2.7,-152.5115495
2.701,-152.5584042
2.702,-152.5961553
2.703,-152.6587032
2.704,-152.6921029
2.705,-152.7549505
2.706,-152.7621897
2.707,-152.7575398
2.708,-152.7762622
2.709,-152.7940544
2.71,-152.8040435
2.711,-152.8553837
2.712,-152.8719613
2.713,-152.9043507
2.714,-152.9098469
2.715,-152.9339375
2.716,-152.9162585
2.717,-152.909417
2.718,-152.8837725
2.719,-152.8727855
2.72,-152.8825583
2.721,-152.8737117
2.722,-152.8601532
2.723,-152.8453336
2.724,-152.8354138
2.725,-152.8301858
2.726,-152.8339215
2.727,-152.80624
2.728,-152.796084
2.729,-152.7671855
2.73,-152.7333933
2.731,-152.6714389
2.732,-152.6356741
2.733,-152.5650545
2.734,-152.5140039
2.735,-152.483812
2.736,-152.4331769
2.737,-152.3711077
2.738,-152.3196411
2.739,-152.2774277
2.74,-152.237004
2.741,-152.1751354
2.742,-152.1264461
2.743,-152.052079
2.744,-152.0028196
2.745,-151.9464425
2.746,-151.8867466
2.747,-151.8616429
2.748,-151.8019189
2.749,-151.7477905
2.75,-151.6951793
2.751,-151.623394
2.752,-151.578914
2.753,-151.5467323
2.754,-151.513121
2.755,-151.4847773
2.756,-151.4559058
2.757,-151.4117424
2.758,-151.3811957
2.759,-151.3475427
2.76,-151.281726
2.761,-151.2496904
2.762,-151.2248862
2.763,-151.2031173
2.764,-151.1805014
2.765,-151.1575035
2.766,-151.1043804
2.767,-151.0723826
2.768,-151.03982
2.769,-151.0187629
2.77,-151.0176518
2.771,-151.0161369
2.772,-151.0112607
2.773,-150.9978201
2.774,-150.9695879
2.775,-150.9517015
2.776,-150.9578442
2.777,-150.9568714
2.778,-150.9488809
2.779,-150.9439981
2.78,-150.928264
2.781,-150.9119462
2.782,-150.9104569
2.783,-150.9006274
2.784,-150.8971028
2.785,-150.8800723
2.786,-150.8714501
2.787,-150.8531305
2.788,-150.8465786
2.789,-150.8140442
2.79,-150.8319508
2.791,-150.8182745
2.792,-150.8250478
2.793,-150.8056325
2.794,-150.80808
2.795,-150.785208
2.796,-150.7901443
2.797,-150.8129593
2.798,-150.826295
2.799,-150.8421503
2.8,-150.8559468
2.801,-150.8778886
2.802,-150.903829
2.803,-150.9225346
2.804,-150.9201802
2.805,-150.9194708
2.806,-150.9335717
2.807,-150.9393454
2.808,-150.9498449
2.809,-150.9688741
2.81,-150.9646988
2.811,-150.9629671
2.812,-150.9643605
2.813,-150.9982443
2.814,-151.0294954
2.815,-151.0560673
2.816,-151.0704862
2.817,-151.0652056
2.818,-151.0913235
2.819,-151.0935201
2.82,-151.1206045
2.821,-151.1416001
2.822,-151.1365986
2.823,-151.1557694
2.824,-151.1619435
2.825,-151.1884833
2.826,-151.2086882
2.827,-151.2288657
2.828,-151.2452819
2.829,-151.2958408
2.83,-151.3102653
2.831,-151.3373426
2.832,-151.3433936
2.833,-151.3818379
2.834,-151.4006215
2.835,-151.4108883
2.836,-151.438169
2.837,-151.4495455
2.838,-151.4672925
2.839,-151.4789685
2.84,-151.4952448
2.841,-151.5041393
2.842,-151.5241251
2.843,-151.5505529
